id,title,poster,pubdate,url,rating,genres,star,comment,tags,star_time,card
34815132,圆圈正义,https://dou.img.lithub.cc/book/34815132.jpg,,https://book.douban.com/subject/34815132/,8.1,,,有些地方过于鸡汤，有种博客合集的感觉，只挑了几篇看,,2023-06-23 17:25:20,罗翔 / 2019 / 中国法制出版社
33438841,有限与无限的游戏,https://dou.img.lithub.cc/book/33438841.jpg,,https://book.douban.com/subject/33438841/,8.1,,,（1987年的书，最近发现这些书咋都这么老）推掉牌桌撕掉剧本,,2023-06-14 23:30:03,[美] 詹姆斯·卡斯 / 2019 / 电子工业出版社
1053174,你干吗在乎别人怎么想？,https://dou.img.lithub.cc/book/1053174.jpg,,https://book.douban.com/subject/1053174/,8.6,,4,,,2023-04-06 14:47:29,[美] 理查德·费曼 / 1999 / 中国社会科学出版社
1037602,别闹了，费曼先生,https://dou.img.lithub.cc/book/1037602.jpg,,https://book.douban.com/subject/1037602/,9,,,,,2023-04-06 14:41:47,[美] 理查德·费曼 / 1997 / 生活·读书·新知三联书店
30239304,Managing Up,https://dou.img.lithub.cc/book/30239304.jpg,,https://book.douban.com/subject/30239304/,0,,4,之前一直很讨厌这类的书，但是这本书希望能更早的看到，列举了四种不同类型的老板的优劣势，以及各种有毒老板的类型，核心其实还是去适应和迎合,,2023-03-21 13:31:01,Mary Abbajay / 2018 / John Wiley & Sons
25912076,叫魂,https://dou.img.lithub.cc/book/25912076.jpg,,https://book.douban.com/subject/25912076/,9.2,,,,,2022-11-28 21:33:58,[美] 孔飞力 / 2014 / 生活·读书·新知三联书店 上海三联书店
19964304,爱的多重奏,https://dou.img.lithub.cc/book/19964304.jpg,,https://book.douban.com/subject/19964304/,8.3,,,,,2022-10-08 22:34:05,[法] 阿兰·巴迪欧 尼古拉·张 / 2012 / 华东师范大学出版社
35506252,岩田先生,https://dou.img.lithub.cc/book/35506252.jpg,,https://book.douban.com/subject/35506252/,7.7,,2,,,2022-09-18 18:08:44,[日] HOBO日刊ITOI新闻(编) / 2021 / 译林出版社
6313496,卡拉马佐夫兄弟,https://dou.img.lithub.cc/book/6313496.jpg,,https://book.douban.com/subject/6313496/,9.6,,5,哎 大部头太难啃了,,2022-08-15 17:27:52,陀思妥耶夫斯基 / 2011 / 上海译文出版社
30387213,DK蔬菜种植栽培百科(精),https://dou.img.lithub.cc/book/30387213.jpg,,https://book.douban.com/subject/30387213/,7.4,,4,这本详细好多有每种蔬菜的播种收获时间表,,2022-06-08 16:22:53,[英] 艾伦·白金汉 / 2017 / 电子工业出版社
30227534,DK在家种蔬果-美好生活课堂,https://dou.img.lithub.cc/book/30227534.jpg,,https://book.douban.com/subject/30227534/,7.7,,,绍兴图书馆，这本感觉内容上没啥特殊,,2022-06-08 16:13:37,西蒙·阿克约德 / 2018 / 中国轻工业出版社
35028138,浙江海岛植物原色图谱,https://dou.img.lithub.cc/book/35028138.jpg,,https://book.douban.com/subject/35028138/,0,,,标记一下，图不错,,2022-05-29 16:07:33,浙江大学出版社
27043119,草木深圳,https://dou.img.lithub.cc/book/27043119.jpg,,https://book.douban.com/subject/27043119/,8.2,,4,没想到是在舟山图书馆看到这本书，按照花的颜色来排还挺友好，就是感觉种类太少了，而且漫山遍野的三角梅竟然没有入选,,2022-05-29 16:04:18,深圳市城管局深圳市林业局 / 2017 / 海天出版社
26733854,明天也是小春日和,https://dou.img.lithub.cc/book/26733854.jpg,,https://book.douban.com/subject/26733854/,8.7,,,,,2022-05-18 12:18:46,[日]津端英子 津端修一 / 2016 / 新星出版社
